time,point x ,point y ,point z ,pupil diameter,flag    
0.0,1.13,0.64,-0.44,,-       
0.05,1.13,0.64,-0.44,,-       
0.1,-0.42,2.49,3.4,3.95,-       
0.15,-0.43,2.23,3.4,3.58,gaze started: p_1_2
0.2,-0.42,2.38,3.4,3.83,gaze started: p_2_2
0.25,-0.56,2.26,3.4,3.65,gaze started: p_1_2
0.3,-0.56,2.23,3.4,3.58,gaze started: p_2_2
0.35,-0.53,2.29,3.4,3.52,-       
0.4,-0.53,2.29,3.4,3.52,-       
0.45,-0.53,2.29,3.4,3.52,-       
0.5,-0.53,2.29,3.4,3.52,-       
0.55,-0.53,2.29,3.4,3.52,-       
0.6,-0.53,2.29,3.4,3.52,-       
0.65,-0.53,2.29,3.4,3.52,-       
0.7,-0.53,2.29,3.4,3.52,-       
0.75,-0.53,2.29,3.4,3.52,-       
0.8,-0.53,2.29,3.4,3.52,-       
0.85,-0.53,2.29,3.4,3.52,-       
0.9,-0.62,2.23,3.4,3.27,gaze started: p_1_2
0.95,-0.73,2.16,3.4,3.21,gaze started: p_2_2
1.0,-0.58,2.14,3.4,3.11,gaze started: p_2_1
1.05,-0.51,2.16,3.4,3.12,gaze started: p_2_2
1.1,-0.52,2.15,3.4,3.1,-       
1.15,-0.39,2.13,3.4,3.06,-       
1.2,-0.47,2.13,3.4,3.03,-       
1.25,-0.68,2.17,3.4,2.97,-       
1.3,-0.64,2.24,3.4,3.21,gaze fixated: p_2_2
1.35,-0.7,2.07,3.4,2.91,-       
1.4,1.14,0.64,-0.44,,gaze started: p_2_1
1.45,-0.54,2.14,3.4,2.31,-       
1.5,-0.78,2.09,3.4,3.43,gaze started: p_2_2
1.55,1.14,0.64,-0.44,,gaze started: p_2_1
1.6,-0.67,2.28,3.4,3.57,-       
1.65,-0.57,2.12,3.4,3.11,gaze started: p_1_2
1.7,-0.51,2.21,3.4,3.22,gaze started: p_2_2
1.75,-0.47,2.23,3.4,3.42,-       
1.8,1.13,0.64,-0.44,,-       
1.85,-0.47,2.17,3.4,3.55,-       
1.9,-0.47,2.26,3.4,3.46,gaze started: p_2_2
1.95,-0.4,2.47,3.4,3.84,-       
2.0,-0.31,2.47,3.4,3.96,gaze started: p_1_2
2.05,-0.31,2.42,3.4,3.95,-       
2.1,-0.23,2.42,3.4,3.93,-       
2.15,-0.35,2.42,3.4,3.96,-       
2.2,-0.24,2.24,3.4,3.54,-       
2.25,-0.24,2.25,3.4,3.63,gaze started: p_2_2
2.3,-0.23,2.23,3.4,3.39,-       
2.35,-0.11,2.22,3.4,3.26,-       
2.4,0.02,2.22,3.4,3.25,-       
2.45,-0.04,2.2,3.4,3.14,-       
2.5,1.13,0.64,-0.44,,gaze fixated: p_2_2
2.55,1.13,0.64,-0.44,,gaze ended: p_2_2
2.6,0.11,2.06,3.4,2.59,-       
2.65,0.16,2.1,3.4,2.41,gaze started: p_2_2
2.7,0.09,2.07,3.4,2.47,gaze started: p_2_3
2.75,0.21,1.96,3.4,2.13,gaze started: p_2_2
2.8,1.13,0.64,-0.44,,gaze started: p_2_3
2.85,1.13,0.64,-0.44,,-       
2.9,1.13,0.64,-0.44,,-       
2.95,1.13,0.64,-0.44,,-       
3.0,1.13,0.64,-0.44,,-       
3.05,1.13,0.64,-0.44,,-       
3.1,1.13,0.64,-0.44,,-       
3.15,0.49,0.56,3.57,3.83,-       
3.2,1.13,0.64,-0.44,,-       
3.25,1.13,0.64,-0.44,,-       
3.3,1.13,0.64,-0.44,,-       
3.35,1.13,0.64,-0.44,,-       
3.4,1.13,0.64,-0.44,,-       
3.45,1.13,0.64,-0.44,,-       
3.5,1.13,0.64,-0.44,,-       
3.55,1.13,0.64,-0.44,,-       
3.6,1.13,0.64,-0.44,,-       
3.65,1.13,0.64,-0.44,,-       
3.7,1.12,0.64,-0.44,,-       
3.75,1.13,0.64,-0.44,,-       
3.8,1.13,0.64,-0.44,,-       
3.85,1.13,0.64,-0.44,,-       
3.9,1.13,0.64,-0.44,,-       
3.95,1.12,0.64,-0.44,,-       
4.0,1.12,0.64,-0.44,,-       
4.05,1.12,0.64,-0.44,,-       
4.1,1.13,0.64,-0.44,,-       
4.15,1.13,0.64,-0.44,,-       
4.2,1.13,0.64,-0.44,,-       
4.25,1.13,0.64,-0.44,,-       
4.3,1.13,0.64,-0.44,,-       
4.35,1.13,0.64,-0.44,,-       
4.4,1.13,0.64,-0.44,,-       
4.45,1.13,0.64,-0.44,,-       
4.5,1.13,0.64,-0.44,,-       
4.55,1.13,0.64,-0.44,,-       
4.6,1.13,0.64,-0.44,,-       
4.65,1.13,0.64,-0.44,,-       
4.7,1.13,0.64,-0.44,,-       
4.75,1.13,0.64,-0.44,,-       
4.8,1.13,0.64,-0.44,,-       
4.85,1.13,0.64,-0.44,,-       
4.9,1.13,0.64,-0.44,,-       
4.95,1.14,0.64,-0.44,,-       
5.0,-0.48,2.66,3.4,3.41,-       
5.05,-0.5,2.82,3.54,3.61,-       
5.1,1.14,0.64,-0.44,,-       
5.15,1.13,0.64,-0.44,,-       
5.2,1.13,0.64,-0.44,,-       
5.25,1.14,0.64,-0.44,,-       
5.3,1.14,0.64,-0.44,,-       
5.35,1.14,0.64,-0.44,,-       
5.4,1.14,0.64,-0.44,,-       
5.45,1.14,0.64,-0.44,,-       
5.5,1.14,0.64,-0.44,,-       
5.55,1.13,0.64,-0.44,,-       
5.6,1.14,0.64,-0.44,,-       
5.65,1.14,0.64,-0.44,,-       
5.7,1.14,0.64,-0.44,,-       
5.75,1.14,0.64,-0.44,,-       
5.8,1.13,0.64,-0.44,,-       
5.85,1.13,0.64,-0.44,,-       
5.9,1.13,0.64,-0.44,,-       
5.95,1.14,0.64,-0.44,,-       
6.0,1.14,0.64,-0.44,,-       
6.05,1.13,0.64,-0.44,,-       
6.1,1.13,0.64,-0.44,,-       
6.15,1.13,0.64,-0.44,,-       
6.2,1.13,0.64,-0.44,,-       
6.25,1.13,0.64,-0.44,,-       
6.3,1.13,0.64,-0.44,,-       
6.35,1.13,0.64,-0.44,,-       
6.4,1.14,0.64,-0.44,,-       
6.45,1.13,0.64,-0.44,,-       
6.5,1.13,0.64,-0.44,,-       
6.55,1.13,0.64,-0.44,,-       
6.6,1.13,0.64,-0.44,,-       
6.65,1.13,0.64,-0.44,,-       
6.7,1.13,0.64,-0.44,,-       
6.75,1.13,0.64,-0.44,,-       
6.8,1.13,0.64,-0.44,,-       
6.85,1.13,0.64,-0.44,,-       
6.9,1.13,0.64,-0.44,,-       
6.95,1.13,0.64,-0.44,,-       
7.0,1.13,0.64,-0.44,,-       
7.05,1.13,0.64,-0.44,,-       
7.1,1.13,0.64,-0.44,,-       
7.15,1.13,0.64,-0.44,,-       
7.2,1.13,0.64,-0.44,,-       
7.25,1.13,0.64,-0.44,,-       
7.3,1.13,0.64,-0.44,,-       
7.35,1.13,0.64,-0.44,,-       
7.4,1.13,0.64,-0.44,,-       
7.45,1.13,0.64,-0.44,,-       
7.5,1.13,0.64,-0.44,,-       
7.55,1.13,0.64,-0.44,,-       
7.6,1.13,0.64,-0.44,,-       
7.65,-0.72,3.16,3.42,3.18,-       
7.7,-0.7,2.77,3.46,3.22,-       
7.75,-0.54,2.3,3.4,3.05,gaze started: p_1_2
7.8,-0.51,2.31,3.4,3.06,-       
7.85,-0.23,2.34,3.4,2.99,-       
7.9,-0.55,2.29,3.4,2.77,-       
7.95,-0.56,2.32,3.4,2.75,-       
8.0,-0.2,2.2,3.4,2.63,-       
8.05,-0.34,2.19,3.4,2.58,gaze started: p_2_2
8.1,-0.01,2.22,3.4,2.56,-       
8.15,-0.15,2.18,3.4,2.57,-       
8.2,-0.43,2.23,3.4,2.6,-       
8.25,-0.06,2.31,3.4,2.58,-       
8.3,-0.26,2.25,3.4,2.58,gaze started: p_1_2
8.35,-0.26,2.2,3.4,2.42,gaze started: p_1_2
8.4,-0.26,2.2,3.4,2.42,gaze started: p_1_2
8.45,0.04,2.31,3.4,2.59,-       
8.5,0.11,2.28,3.46,2.55,gaze started: p_1_2
8.55,-0.35,2.14,3.4,2.58,-       
8.6,-0.37,2.17,3.4,2.53,gaze started: p_2_2
8.65,-0.28,2.23,3.4,2.44,-       
8.7,-0.3,2.22,3.4,2.43,-       
8.75,-0.3,2.21,3.4,2.38,-       
8.8,-0.31,2.21,3.4,2.45,-       
8.85,-0.3,2.2,3.4,2.45,-       
8.9,-0.31,2.17,3.4,2.47,gaze fixated: p_2_2
8.95,0.2,2.22,3.4,2.45,-       
9.0,0.2,2.22,3.4,2.45,-       
9.05,-0.25,2.14,3.4,2.54,gaze started: p_2_2
9.1,-0.23,2.16,3.4,2.65,-       
9.15,-0.23,2.11,3.4,2.47,-       
9.2,-0.08,2.17,3.4,2.57,-       
9.25,-0.07,2.15,3.4,2.48,-       
9.3,-0.3,2.1,3.4,2.48,-       
9.35,-0.26,2.18,3.4,2.56,gaze fixated: p_2_2
9.4,-0.24,2.21,3.4,2.66,-       
9.45,-0.22,2.39,3.4,2.56,-       
9.5,-0.22,2.39,3.4,2.56,-       
9.55,-0.23,2.55,3.4,3.01,-       
9.6,-0.22,2.71,3.4,3.49,-       
