time,point x ,point y ,point z ,pupil diameter,flag    
0.0,-0.54,2.32,3.4,2.82,-       
0.05,-0.54,2.38,3.4,2.81,-       
0.1,-0.56,2.37,3.4,2.82,-       
0.15,-0.57,2.37,3.4,2.8,-       
0.2,-0.56,2.38,3.4,2.78,-       
0.25,-0.56,2.39,3.4,2.77,-       
0.3,-0.57,2.39,3.4,2.78,-       
0.35,-0.59,2.37,3.4,2.75,-       
0.4,-0.38,2.11,3.4,2.69,-       
0.45,-0.46,2.08,3.4,2.73,gaze started: p_2_2
0.5,-0.41,2.09,3.4,2.7,-       
0.55,-0.39,2.08,3.4,2.68,-       
0.6,-0.38,2.09,3.4,2.66,-       
0.65,-0.65,2.04,3.4,2.73,-       
0.7,-0.65,2.06,3.4,2.72,gaze fixated: p_2_2
0.75,-0.71,2.05,3.46,2.68,-       
0.8,-0.71,2.05,3.46,2.68,-       
0.85,-0.71,2.05,3.46,2.68,-       
0.9,-0.71,2.05,3.46,2.68,-       
0.95,-0.71,2.05,3.46,2.68,-       
1.0,-0.71,2.05,3.46,2.68,-       
1.05,-0.71,2.05,3.46,2.68,-       
1.1,-0.71,2.05,3.46,2.68,-       
1.15,-0.71,2.05,3.46,2.68,-       
1.2,-0.71,2.05,3.46,2.68,-       
1.25,-0.42,2.05,3.4,2.67,gaze ended: p_2_2
1.3,-0.08,1.97,3.4,2.7,gaze started: p_2_2
1.35,0.14,1.92,3.46,2.74,-       
1.4,0.13,1.91,3.4,2.75,-       
1.45,0.04,1.9,3.4,2.77,gaze started: p_2_2
1.5,0.04,1.9,3.4,2.78,-       
1.55,0.04,1.92,3.4,2.79,-       
1.6,0.03,1.88,3.4,2.8,-       
1.65,0.62,0.74,-0.29,,-       
1.7,0.62,0.74,-0.29,,-       
1.75,0.62,0.74,-0.29,,-       
1.8,0.62,0.74,-0.29,,-       
1.85,0.62,0.74,-0.29,,-       
1.9,0.62,0.74,-0.29,,-       
1.95,0.62,0.74,-0.29,,-       
2.0,0.62,0.74,-0.29,,-       
2.05,0.62,0.74,-0.29,,-       
2.1,0.11,1.89,3.4,2.93,-       
2.15,0.11,1.89,3.4,2.93,-       
2.2,-0.02,1.94,3.4,2.89,-       
2.25,-0.02,1.94,3.4,2.89,-       
2.3,0.7,1.93,3.4,2.97,-       
2.35,0.7,1.93,3.4,2.97,-       
2.4,0.79,1.85,3.4,2.96,-       
2.45,0.79,1.85,3.4,2.96,-       
2.5,0.79,1.87,3.4,2.99,-       
2.55,0.79,1.87,3.4,2.99,-       
2.6,0.8,1.9,3.4,3.11,-       
2.65,0.62,0.74,-0.29,,gaze fixated: p_2_3
2.7,0.62,0.74,-0.29,,-       
2.75,0.62,0.74,-0.29,,-       
2.8,0.62,0.74,-0.29,,-       
2.85,0.62,0.74,-0.29,,-       
2.9,0.62,0.74,-0.29,,-       
2.95,0.62,0.74,-0.29,,-       
3.0,0.38,1.64,3.4,2.3,-       
3.05,0.38,1.64,3.4,2.3,-       
3.1,0.5,1.53,3.4,2.2,-       
3.15,0.5,1.53,3.4,2.2,-       
3.2,0.47,1.56,3.4,2.23,-       
3.25,0.48,1.57,3.4,2.27,-       
3.3,0.5,1.54,3.4,2.25,gaze fixated: p_3_3
3.35,0.5,1.54,3.4,2.25,gaze fixated: p_3_3
3.4,0.47,1.54,3.4,2.24,-       
3.45,0.47,1.54,3.4,2.24,-       
3.5,0.47,1.53,3.4,2.22,-       
3.55,0.47,1.53,3.4,2.21,-       
3.6,0.49,1.54,3.4,2.2,-       
3.65,0.43,1.56,3.4,2.2,-       
3.7,0.45,1.54,3.4,2.2,-       
3.75,0.44,1.55,3.4,2.2,-       
3.8,0.49,1.53,3.4,2.21,-       
3.85,0.49,1.53,3.4,2.21,-       
3.9,0.46,1.56,3.4,2.27,-       
3.95,0.46,1.56,3.4,2.27,-       
4.0,0.15,1.66,3.4,2.28,-       
4.05,0.31,1.62,3.4,2.24,-       
4.1,0.19,1.69,3.4,2.26,-       
4.15,0.19,1.69,3.4,2.26,-       
4.2,0.2,1.68,3.4,2.26,-       
4.25,0.2,1.68,3.4,2.26,-       
4.3,0.27,1.69,3.4,2.25,-       
4.35,0.27,1.69,3.4,2.25,-       
4.4,0.2,1.7,3.4,2.25,-       
4.45,0.21,1.69,3.4,2.25,-       
4.5,0.22,1.68,3.4,2.27,-       
4.55,0.22,1.68,3.4,2.27,-       
4.6,0.26,1.7,3.4,2.28,-       
4.65,0.26,1.7,3.4,2.28,-       
4.7,0.62,0.74,-0.29,,-       
4.75,0.62,0.74,-0.29,,gaze ended: p_3_3
4.8,0.62,0.74,-0.29,,-       
4.85,0.62,0.74,-0.29,,-       
4.9,0.17,1.78,3.4,2.36,-       
4.95,0.17,1.78,3.4,2.36,-       
5.0,0.26,1.78,3.4,2.35,-       
5.05,0.26,1.78,3.4,2.35,-       
5.1,0.27,1.79,3.4,2.38,-       
5.15,0.27,1.79,3.4,2.38,-       
5.2,-0.02,2.01,3.4,2.41,gaze started: p_2_2
5.25,-0.02,2.01,3.4,2.41,gaze started: p_2_2
5.3,-0.01,2.01,3.4,2.42,-       
5.35,0.15,2.0,3.4,2.41,-       
5.4,0.11,2.01,3.4,2.4,gaze started: p_2_3
5.45,0.09,2.01,3.4,2.4,gaze started: p_2_2
5.5,0.21,2.03,3.4,2.35,-       
5.55,0.2,2.11,3.4,2.4,gaze started: p_2_3
5.6,0.2,2.12,3.4,2.35,-       
5.65,0.32,2.1,3.4,2.36,-       
5.7,0.32,2.1,3.4,2.38,-       
5.75,0.35,2.09,3.4,2.38,-       
5.8,0.31,2.1,3.4,2.37,gaze fixated: p_2_3
5.85,0.32,2.11,3.4,2.36,-       
5.9,0.31,2.12,3.4,2.36,-       
5.95,0.32,2.11,3.4,2.35,-       
6.0,0.16,1.87,3.4,2.33,-       
6.05,0.11,1.94,3.4,2.32,-       
6.1,0.14,1.91,3.4,2.33,gaze started: p_2_2
6.15,0.16,1.89,3.4,2.34,gaze started: p_2_3
6.2,0.15,1.9,3.4,2.36,-       
6.25,0.15,1.9,3.4,2.36,-       
6.3,0.17,1.89,3.4,2.38,-       
6.35,0.17,1.89,3.4,2.38,-       
6.4,0.04,1.92,3.4,2.53,gaze fixated: p_2_3
6.45,0.04,1.92,3.4,2.53,gaze fixated: p_2_3
6.5,0.62,0.74,-0.29,,-       
6.55,0.62,0.74,-0.29,,-       
6.6,0.62,0.74,-0.29,,-       
6.65,0.62,0.74,-0.29,,-       
6.7,0.27,1.83,3.4,2.32,gaze started: p_2_3
6.75,0.27,1.83,3.4,2.32,gaze started: p_2_3
6.8,0.28,1.82,3.4,2.34,-       
6.85,0.28,1.82,3.4,2.34,-       
6.9,0.21,1.83,3.4,2.34,-       
6.95,0.11,1.86,3.4,2.37,-       
7.0,0.2,1.83,3.4,2.37,gaze started: p_2_2
7.05,0.19,1.83,3.4,2.37,gaze started: p_2_3
7.1,0.17,1.83,3.4,2.36,-       
7.15,0.18,1.83,3.4,2.36,-       
7.2,0.19,1.83,3.4,2.35,-       
7.25,0.19,1.83,3.4,2.36,-       
7.3,0.2,1.83,3.4,2.36,gaze fixated: p_2_3
7.35,0.19,1.83,3.4,2.38,-       
7.4,0.19,1.82,3.4,2.39,-       
7.45,0.21,1.82,3.4,2.38,-       
7.5,0.21,1.82,3.4,2.38,-       
7.55,0.21,1.82,3.4,2.37,-       
7.6,0.16,1.83,3.4,2.38,-       
7.65,0.17,1.83,3.4,2.38,-       
7.7,0.2,1.82,3.4,2.38,-       
7.75,0.21,1.82,3.4,2.36,-       
7.8,0.18,1.81,3.4,2.36,-       
7.85,0.19,1.82,3.46,2.35,-       
7.9,0.2,1.81,3.4,2.35,gaze ended: p_2_3
7.95,0.19,1.81,3.4,2.33,gaze started: p_2_3
8.0,0.2,1.82,3.46,2.33,-       
8.05,0.2,1.81,3.4,2.32,-       
8.1,0.21,1.82,3.4,2.33,gaze started: p_2_3
8.15,0.2,1.82,3.4,2.32,-       
8.2,0.2,1.83,3.4,2.33,-       
8.25,0.21,1.82,3.4,2.32,-       
8.3,0.21,1.82,3.4,2.33,-       
8.35,0.21,1.82,3.4,2.34,-       
8.4,0.2,1.82,3.4,2.33,gaze fixated: p_2_3
8.45,0.19,1.82,3.4,2.35,-       
8.5,0.19,1.82,3.4,2.34,-       
8.55,0.2,1.81,3.46,2.34,-       
8.6,0.11,1.83,3.4,2.35,gaze ended: p_2_3
8.65,0.21,1.81,3.46,2.35,gaze started: p_2_2
8.7,0.21,1.81,3.46,2.37,-       
8.75,0.22,1.82,3.46,2.37,-       
8.8,0.22,1.81,3.46,2.37,-       
8.85,0.22,1.81,3.46,2.35,-       
8.9,0.23,1.81,3.46,2.33,-       
8.95,0.22,1.81,3.46,2.32,-       
9.0,0.22,1.82,3.46,2.31,-       
9.05,0.23,1.81,3.46,2.28,-       
9.1,0.23,1.81,3.46,2.28,-       
9.15,0.22,1.82,3.46,2.28,-       
9.2,0.21,1.81,3.46,2.27,-       
9.25,0.21,1.81,3.46,2.28,-       
9.3,0.22,1.82,3.46,2.27,-       
9.35,0.22,1.82,3.46,2.28,-       
9.4,0.23,1.81,3.4,2.31,-       
9.45,0.21,1.81,3.4,2.32,gaze started: p_2_3
9.5,0.23,1.82,3.46,2.32,-       
9.55,0.23,1.82,3.46,2.35,-       
9.6,0.23,1.82,3.46,2.36,-       
9.65,0.23,1.82,3.46,2.35,-       
9.7,0.22,1.81,3.46,2.37,-       
9.75,0.32,1.87,3.4,2.6,-       
9.8,0.62,0.74,-0.29,,gaze started: p_2_3
9.85,0.62,0.74,-0.29,,-       
9.9,0.62,0.74,-0.29,,-       
9.95,0.62,0.74,-0.29,,-       
10.0,0.62,0.74,-0.29,,-       
10.05,0.24,1.79,3.4,2.4,-       
10.1,0.06,1.86,3.4,2.41,gaze started: p_3_3
10.15,0.15,1.83,3.4,2.38,gaze started: p_2_2
10.2,0.15,1.83,3.4,2.41,gaze started: p_2_3
10.25,0.16,1.83,3.4,2.41,-       
10.3,0.16,1.85,3.4,2.44,-       
